1,"30/4/1975: Xe tăng 390 húc đổ cổng Dinh Độc Lập, đánh dấu thống nhất."
2,"Chiến dịch Hồ Chí Minh: Thần tốc, giải phóng Sài Gòn chỉ trong 5 ngày."
3,"Đại tướng Võ Nguyên Giáp: Tổng Tư lệnh tối cao, chỉ đạo chiến lược cho Chiến dịch Hồ Chí Minh."
4,"10h45, 30/4: Cờ Giải phóng tung bay trên nóc Dinh Độc Lập."
5,"Quân giải phóng sử dụng chiến thuật bao vây, chia cắt và tiến công các mục tiêu quan trọng của quân lực Sài Gòn."
6,"30/4/1975: Tổng thống Dương Văn Minh tuyên bố đầu hàng vô điều kiện."
7,"Ngày 30/4/1975, Bộ Tư lệnh Chiến dịch Hồ Chí Minh phát lệnh tổng tiến công, mở ra thắng lợi quyết định."
8,"Sài Gòn chính thức đổi tên thành Thành phố Hồ Chí Minh vào ngày 2/7/1976 để vinh danh Bác."
9,"Chiến dịch Hồ Chí Minh có sự tham gia của hơn 1 triệu quân, dưới sự chỉ huy chiến dịch của các tướng Văn Tiến Dũng, Trần Văn Trà, Lê Đức Anh."
10,"Trước chiến dịch, Quân Giải phóng đã giải phóng các tỉnh miền Trung và miền Đông Nam Bộ, mở đường tiến vào Sài Gòn."
11,"Ngày 30/4, khi quân giải phóng tiến vào Sài Gòn, toàn bộ hệ thống chính trị, quân sự của miền Nam sụp đổ trong vòng 24 giờ."
12,"Chiến dịch Hồ Chí Minh không chỉ là một chiến thắng quân sự, mà còn là thắng lợi về mặt chính trị, kết thúc cuộc chiến tranh kéo dài."
13,"Chiến dịch Hồ Chí Minh được đặt tên theo Bác Hồ, như một lời hứa hoàn thành tâm nguyện 'Thống nhất đất nước' của Người."
14,"Trong chiến dịch, quân giải phóng đã huy động tới 5 quân đoàn chủ lực, một lực lượng quân sự hùng mạnh nhất từ trước đến lúc đó."
15,"Đêm 29 rạng sáng 30/4, quân giải phóng đã đánh chiếm sân bay Tân Sơn Nhất – một trong những cứ điểm phòng thủ quan trọng nhất của Sài Gòn."
16,"Xe tăng 390 thuộc Lữ đoàn 203 là chiếc xe húc đổ cổng chính Dinh Độc Lập trưa 30/4/1975, sau khi xe tăng 843 bị kẹt ở cổng phụ."
17,"Trước giờ tổng tiến công, chiến dịch phát đi mệnh lệnh với 5 từ nổi tiếng: 'Thần tốc, táo bạo, bất ngờ, chắc thắng.'"
18,"Sài Gòn chính thức đổi tên thành Thành phố Hồ Chí Minh vào ngày 2/7/1976 theo nghị quyết của Quốc hội khóa VI."
19,"Quân Giải phóng hoàn thành Chiến dịch Hồ Chí Minh chỉ trong 5 ngày – nhanh hơn nhiều so với dự kiến ban đầu."
20,"Ngay sau khi chiếm Dinh Độc Lập, quân giải phóng lập tức bảo vệ trật tự thành phố, tránh hỗn loạn và bảo vệ tài sản cho nhân dân."
21,"Nguyễn Văn Thiệu – Tổng thống Việt Nam Cộng hòa – đã bí mật rời Sài Gòn ngày 21/4/1975, chỉ 9 ngày trước khi thành phố thất thủ."
22,"Hình ảnh lá cờ Mặt trận Dân tộc Giải phóng miền Nam tung bay trên nóc Dinh Độc Lập trở thành biểu tượng vĩnh cửu cho ngày 30/4 lịch sử."
23,"Ngày 29/4/1975, quân Giải phóng bắn phá sân bay Tân Sơn Nhất, làm tê liệt tuyến phòng thủ cuối cùng."
24,"Chiến dịch Hồ Chí Minh có mật danh ban đầu là 'Chiến dịch 275' trước khi được đổi tên vào ngày 14/4/1975."
25,"Chiến dịch huy động tổng cộng 5 cánh quân tiến đánh Sài Gòn từ 5 hướng chiến lược khác nhau."
26,"Trưa 30/4, Tổng thống Dương Văn Minh đọc tuyên bố đầu hàng trên sóng phát thanh quốc gia."
27,"Xe tăng 843 do trung úy Bùi Quang Thận chỉ huy đã húc vào cổng phụ Dinh Độc Lập nhưng bị kẹt, mở đường cho xe tăng 390 tiến vào."
28,"Ngày 30/4/1975, gần 1 triệu người dân Sài Gòn đổ ra đường mừng ngày giải phóng."
29,"Sáng 30/4, quân Giải phóng đồng loạt đánh chiếm Bộ Tổng Tham mưu quân lực Việt Nam Cộng hòa."
30,"Chiến dịch Hồ Chí Minh kết thúc sớm hơn dự kiến, nhờ sự thần tốc và đồng loạt của các mũi tiến công."
31,"Trong Chiến dịch, các đơn vị biệt động đã đóng vai trò quan trọng trong việc chỉ điểm, dẫn đường trong nội đô Sài Gòn."
32,"Ngày 30/4/1975 được gọi là 'Ngày hội non sông' – dấu mốc lịch sử chấm dứt chiến tranh Việt Nam."
